func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,False,50.0,30.3,3.4977047443389893,1.5839033126831055,50,SVM (RBF),0.7450980392156863,0.36666666666666664,0.358191594297071,0.6758518518518518,0.28281521797180176,,,,
harmonic,False,50.0,30.3,3.4977047443389893,1.5839033126831055,50,Random Forest,1.0,0.43333333333333335,0.43082241034827246,0.7437037037037035,1.2608680725097656,,,,
harmonic,False,50.0,30.3,3.4977047443389893,1.5839033126831055,50,MLP,0.6529411764705882,0.36666666666666664,0.3627586047595209,0.7047407407407409,4.5568318367004395,,,,
harmonic_with_labels,True,50.0,30.3,3.4977047443389893,1.5839033126831055,53,SVM (RBF),0.792156862745098,0.4111111111111111,0.40632906388361795,0.7090370370370371,0.27840089797973633,,,,
harmonic_with_labels,True,50.0,30.3,3.4977047443389893,1.5839033126831055,53,Random Forest,1.0,0.5222222222222223,0.5227125920674308,0.794,1.074547529220581,,,,
harmonic_with_labels,True,50.0,30.3,3.4977047443389893,1.5839033126831055,53,MLP,0.5705882352941176,0.43333333333333335,0.41785190118523446,0.7644444444444446,2.4445948600769043,,,,
harmonic,False,100.0,30.3,3.481154441833496,1.759730339050293,100,SVM (RBF),0.8490196078431372,0.3111111111111111,0.3029322808909093,0.7017777777777777,0.3682730197906494,,,,
harmonic,False,100.0,30.3,3.481154441833496,1.759730339050293,100,Random Forest,1.0,0.4444444444444444,0.44307979953141235,0.7433333333333333,1.226957082748413,,,,
harmonic,False,100.0,30.3,3.481154441833496,1.759730339050293,100,MLP,0.44509803921568625,0.32222222222222224,0.30821418240566306,0.6653333333333334,1.9846336841583252,,,,
harmonic_with_labels,True,100.0,30.3,3.481154441833496,1.759730339050293,103,SVM (RBF),0.8823529411764706,0.36666666666666664,0.35511295677054905,0.7194074074074075,0.37503933906555176,,,,
harmonic_with_labels,True,100.0,30.3,3.481154441833496,1.759730339050293,103,Random Forest,1.0,0.4888888888888889,0.4918562685239713,0.7874074074074074,1.0729961395263672,,,,
harmonic_with_labels,True,100.0,30.3,3.481154441833496,1.759730339050293,103,MLP,0.8294117647058824,0.4222222222222222,0.4119895135598859,0.7545185185185185,4.5476648807525635,,,,
harmonic,False,150.0,30.3,3.70583438873291,2.069535255432129,150,SVM (RBF),0.907843137254902,0.45555555555555555,0.4507496917936622,0.7211851851851852,0.709186315536499,,,,
harmonic,False,150.0,30.3,3.70583438873291,2.069535255432129,150,Random Forest,1.0,0.4111111111111111,0.4124633377066636,0.7268888888888889,3.5812504291534424,,,,
